CF-L1 Tests
CF-L1-01 (sequential_ops): 0
CF-L1-02 (single_if): 0
CF-L1-02 (single_if): 0
CF-L1-03 (if_else): 0
CF-L1-03 (if_else): 0
CF-L1-04 (nested_if_2): 0
CF-L1-04 (nested_if_2): 0
CF-L1-04 (nested_if_2): 0
CF-L1-05 (nested_if_deep): 0
CF-L1-06 (if_elseif_chain): 0
CF-L1-07 (if_elseif_long): 0
CF-L1-08 (switch_small): 0
CF-L1-09 (switch_large): 0
CF-L1-10 (switch_default): 0
CF-L1-11 (switch_fallthrough): 0
CF-L1-12 (loop_for_fixed): 0
CF-L1-13 (loop_while): 0
CF-L1-14 (loop_dowhile): 0
CF-L1-15 (loop_nested): 0
CF-L1-16 (loop_break): 0
CF-L1-16 (loop_break): 0
CF-L1-17 (loop_continue): 0
CF-L1-18 (goto_forward): 0
CF-L1-18 (goto_forward): 0
CF-L1-19 (goto_backward): 0
CF-L1-20 (ternary_op): 0
CF-L1-20 (ternary_op): 0
CF-L2 Tests
CF-L2-01 (loop_multi_exit): 0
CF-L2-02 (infinite_loop): 0
CF-L2-03 (multi_return): 0
CF-L2-03 (multi_return): 0
CF-L2-03 (multi_return): 0
CF-L2-04 (conditional_return): 0
CF-L2-04 (conditional_return): 0
CF-L2-05 (duffs_device): 0
CF-L2-06 (loop_complex_cond): 0
CF-L2-07 (loop_modify_var): 0
CF-L2-08 (loop_external_state): 0
CF-L2-09 (recursion_factorial): 0
CF-L2-10 (tail_recursion): 0
CF-L2-11 (indirect_recursion): 0
CF-L2-12 (call_func_ptr): 0
CF-L2-13 (call_func_ptr_array): 0
CF-L2-13 (call_func_ptr_array): 0
CF-L2-15 (process_with_callback): 0
CF-L3 Tests
CF-L3-01 (non_local_jump): 10
CF-L3-01 (non_local_jump): -1
CF-L3-02 (cpp_exception): 10
CF-L3-02 (cpp_exception): -1
CF-L3-03 (large_jump_table): 0
CF-L3-04 (conditional_func_ptr): 20
CF-L3-05 (state_machine): 1
CF-L3-06 (fsm_func_table): 3
CF-L3-07 (computed_goto): 20
CF-L3-08 (obfuscated_cf): 20
CF-L3-09 (opaque_predicate): 20
CF-L3-10 (overlapped_code): 5
