Testing Preprocessor Features:
param_macro_constants(64) = 64
call_macro_constants() = 30
param_conditional_compile(32) = 32
call_multi_branch_compile() = 57122
call_macro_recursion() = 116
call_stringize() = 19
call_token_paste() = 60
LOG: Values: 10, 20, 30
call_variadic_macro() = 60
call_macro_override() = 16
call_include_guard() = 500
file=src/5-23.c, func=param_builtin_macros, line=279, date=Jan 15 2026, time=02:59:54
call_builtin_macros() = 382
Testing ASM Features:
call_asm_basic() = 15
param_asm_clobber() = -1064580623
call_asm_multi_insn() = -1
call_asm_simd() = 36
param_asm_atomic() = 30
call_asm_privileged() = 77
